,fname,lname,tags,associations,subplots
188,Joseph,Mifsud,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest Congress'},"Maltese, Campaign",Russia contacts
189,Jason,Miller,{'class': 'g-list-item Trump Russiacontacts'},"Campaign, Transition",Russia contacts
190,Amanda,Miller,{'class': 'g-list-item Trump Russiacontacts Fakenews Stolenemails Congress'},"Trump Org, Campaign","Russia contacts, Fake news, Stolen emails"
191,Stephen,Miller,{'class': 'g-list-item Trump Stolenemails Fakenews Flynnplea Comeyfiring MuellerInterest Congress'},"Campaign, Transition, Administration","Stolen emails, Fake news, Flynn plea, Comey firing"
192,Nancye,Miller,{'class': 'g-list-item Trump Flynnplea MuellerInterest'},Campaign,Flynn plea
193,Sergei,Millian,{'class': 'g-list-item Trump TheSteeledossier Russiacontacts Manafortindictment Congress'},"Trump Org, Campaign","The Steele dossier, Russia contacts, Manafort indictment"
194,Bert,Mizusawa,{'class': 'g-list-item Trump Russiacontacts Congress'},Campaign,Russia contacts
195,Al Nahyan,Mohammed bin Zayed,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest'},Emirati,Russia contacts
196,Lisa,Monaco,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails'},Administration,Stolen emails
197,Randolph,Moss,{'class': 'g-list-item Other Russiacontacts'},Judge,Russia contacts
198,Robert,Mueller,{'class': 'g-list-item Mueller Stolenemails Russiacontacts Fakenews Flynnplea Manafortindictment RNCplatformchange TheSteeledossier'},Prosecutor,"Stolen emails, Russia contacts, Fake news, Flynn plea, Manafort indictment, RNC platform change, The Steele dossier"
199,Jim,Murphy,{'class': 'g-list-item Trump Manafortindictment'},Campaign,Manafort indictment
200,Robert,Muse,{'class': 'g-list-item Other TheSteeledossier'},"Attorney, Fusion GPS",The Steele dossier
201,George,Nader,{'class': 'g-list-item ForeignNational RussiaContacts MuellerInterest Congress'},Lebanese-American,Russia Contacts
202,Melissa,Nathan,{'class': 'g-list-item Trump Stolenemails Fakenews Congress'},Trump Org,"Stolen emails, Fake news"
203,Aaron,Nevins,{'class': 'g-list-item Other RussiaContacts Stolenemails Congress'},Campaign,"Russia Contacts, Stolen emails"
204,Viktor Borisovich,Netyksho,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
205,Boris Alekseyevich,Antonov,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
206,Dmitriy Sergeyevich,Badin,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
207,Ivan Sergeyevich,Yermakov,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
208,Aleksey Viktorovich,Lukashev,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
209,Sergey Aleksandrovich,Morgachev,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
210,Nikolay Yuryevich,Kozachek,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
211,Pavel Vyacheslavovich,Yershov,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
212,Artem Vladimirovich,Malyshev,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
213,Aleksandr Vladimirovich,Osadchuk,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
214,Aleksey Aleksandrovich,Potemkin,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
215,Anatoliy Sergeyevich,Kovalev,{'class': 'g-list-item ForeignNational Indicted MuellerInterest Indicted'},Russian,Indicted
216,Alexander,Nix,{'class': 'g-list-item Trump Fakenews Stolenemails MuellerInterest Congress'},Campaign,"Fake news, Stolen emails"
217,Sam,Nunberg,{'class': 'g-list-item Trump Russiacontacts MuellerInterest Congress'},Campaign,Russia contacts
218,Barack,Obama,{'class': 'g-list-item ObamaofficialsandDemocrats TheSteeledossier Stolenemails'},Administration,"The Steele dossier, Stolen emails"
219,Lisa,Page,{'class': 'g-list-item Mueller Russiacontacts Congress'},FBI,Russia contacts
220,Carter,Page,{'class': 'g-list-item Trump Stolenemails Russiacontacts Fakenews Manafortindictment Congress'},Campaign,"Stolen emails, Russia contacts, Fake news, Manafort indictment"
221,George,Papadopoulos,{'class': 'g-list-item Trump Fakenews Stolenemails Russiacontacts MuellerInterest Congress Guilty'},Campaign ,"Fake news, Stolen emails, Russia contacts"
222,Brad,Parscale,{'class': 'g-list-item Trump Stolenemails Fakenews Congress'},Campaign ,"Stolen emails, Fake news"
223,Stefan,Passantino,{'class': 'g-list-item Trump Comeyfiring Flynnplea Russiacontacts'},Attorney,"Comey firing, Flynn plea, Russia contacts"
224,Mike,Pence,{'class': 'g-list-item Trump Flynnplea Comeyfiring Stolenemails Russiacontacts TheSteeledossier MuellerInterest Congress'},"Campaign, Transition, Administration","Flynn plea, Comey firing, Stolen emails, Russia contacts, The Steele dossier"
225,Dmitry,Peskov,{'class': 'g-list-item ForeignNational Russiacontacts Manafortindictment MuellerInterest Congress'},"Russian, Trump Org","Russia contacts, Manafort indictment"
226,Walid,Phares,{'class': 'g-list-item Trump Russiacontacts RNCplatformchange Flynnplea MuellerInterest Congress'},Campaign,"Russia contacts, RNC platform change, Flynn plea"
227,Katrina,Pierson,{'class': 'g-list-item Trump Manafortindictment'},Campaign,Manafort indictment
228,Richard,Pinedo,{'class': 'g-list-item Other MuellerInterest Guilty'},American,
229,John,Podesta,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Fakenews TheSteeledossier MuellerInterest Congress'},Clinton campaign,"Stolen emails, Fake news, The Steele dossier"
230,Tony,Podesta,{'class': 'g-list-item Other Manafortindictment MuellerInterest'},Lobbyist,Manafort indictment
231,Vadim Vladimirovich,Podkopaev,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
232,Sergey Pavlovich,Polozov,{'class': 'g-list-item ForeignNational Indicted Fakenews MuellerInterest Indicted'},"Russian, Internet Research Agency","Indicted, Fake news"
233,Mike,Pompeo,{'class': 'g-list-item Trump Stolenemails Russiacontacts Comeyfiring MuellerInterest Congress'},Administration,"Stolen emails, Russia contacts, Comey firing"
234,Samantha,Power,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Congress'},Administration,Stolen emails
235,Elizabeth,Prelogar,{'class': 'g-list-item Mueller Russiacontacts Manafortindictment'},Prosecutor,"Russia contacts, Manafort indictment"
236,Reince,Priebus,{'class': 'g-list-item Trump Flynnplea Comeyfiring MuellerInterest Congress'},"Transition, Administration","Flynn plea, Comey firing"
237,Erik,Prince,{'class': 'g-list-item Trump Russiacontacts MuellerInterest Congress'},Campaign,Russia contacts
238,Vladimir,Putin,{'class': 'g-list-item ForeignNational Stolenemails Fakenews Russiacontacts Manafortindictment MuellerInterest Congress'},Russian,"Stolen emails, Fake news, Russia contacts, Manafort indictment"
239,James,Quarles,{'class': 'g-list-item Mueller Stolenemails Russiacontacts Fakenews Flynnplea Manafortindictment RNCplatformchange TheSteeledossier'},Prosecutor,"Stolen emails, Russia contacts, Fake news, Flynn plea, Manafort indictment, RNC platform change, The Steele dossier"
240,Josh,Raffel,{'class': 'g-list-item Trump Russiacontacts MuellerInterest'},Administration,Russia contacts
241,Jeannie,Rhee,{'class': 'g-list-item Mueller Russiacontacts'},Prosecutor,Russia contacts
242,Ben,Rhodes,{'class': 'g-list-item ObamaofficialsandDemocrats Flynnplea Stolenemails Fakenews Congress'},Administration,"Flynn plea, Stolen emails, Fake news"
243,Susan,Rice,{'class': 'g-list-item ObamaofficialsandDemocrats Stolenemails Congress'},Administration,Stolen emails
244,Brian,Richardson,{'class': 'g-list-item Mueller Russiacontacts'},Prosecutor,Russia contacts
245,Daniel,Richman,{'class': 'g-list-item Other Comeyfiring MuellerInterest Congress'},FBI,Comey firing
246,Mike,Rogers,{'class': 'g-list-item Other Stolenemails Fakenews Comeyfiring MuellerInterest Congress'},NSA,"Stolen emails, Fake news, Comey firing"
247,Dmitry,Rogozin,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest'},Russian,Russia contacts
248,Dana,Rohrabacher,{'class': 'g-list-item Trump Russiacontacts Stolenemails Fakenews Flynnplea MuellerInterest Congress'},Campaign,"Russia contacts, Stolen emails, Fake news, Flynn plea"
249,Rod,Rosenstein,{'class': 'g-list-item Other Comeyfiring MuellerInterest Congress'},DOJ,Comey firing
250,Wilbur,Ross ,{'class': 'g-list-item Trump Russiacontacts'},Administration,Russia contacts
251,Stephen,Ryan,{'class': 'g-list-item Trump Russiacontacts'},Attorney,Russia contacts
252,Dmitry,Rybolovlev,{'class': 'g-list-item ForeignNational Russiacontacts MuellerInterest'},Russian,Russia contacts
